"Hanke","AlkuPvm","StrateginenOhjelma","Karkihanke","SidosryhmaRooli","Aihepiiri","MenotYhteensa","Organisaatio","ProjektiId","Projekti","LoppuPvm","JulkaistavaProjektikuvaus","Kehittamistarve","Kohderyhma","StrateginenOhjelmaYlempi"
"Tämä on hanke","2018-05-14","Ilmasto- ja ympäristöpolitiikan toimenpiteillä edetään kohti kaupunkiseudun hiilineutraaliutta 2029","Kyllä","null","Elinkeinoelämä ja liiketoiminta|Kaavoitus ja rakentaminen|Kaupunkikehittäminen|Liikenne|Tekniikka ja teknologia|Ympäristö","747227.0","Konha/Kaupunkikehitysryhmä","1765","Smart and Wise Turku/Hiilineutraalius ja resurssiviisaus","2021-12-31","Turun kaupunginvaltuuston hyväksymä (11.6.2018) ilmastosuunnitelma asettaa kaupungin tavoitteeksi olla hiilineutraali vuonna 2029. Sen saavuttamiseksi Turun alueen kasvihuonepäästöjä vähennetään vuoteen 2029 menneessä vähintään 80 prosentilla vuoden 1990 tasoon verrattuna. \r\n\r\nTavoite saavutetaan kaupunkikonsernin omin toimin sekä tukemalla ja sitouttamalla yrityksiä, yhteisöjä ja asukkaita ilmastokestäviin ratkaisuihin. Ilmastomuutoksen torjunnan lisäksi tavoitteena on varautua ja sopeutua tuleviin muutoksiin.\r\n\r\nHiilineutraaliuden saavuttamisesta vuonna 2029 eteenpäin kaupungin tavoitteena on olla ilmastopositiivinen. Eli alue sitoo enemmän hiiltä ilmakehästä kuin tuottaa sitä. \r\n\r\nKasvihuonekaasujen vähentämisen lisäksi kaupungin elinvoiman ja kasvun tulee rakentua ekologisesti, sosiaalisesti ja taloudellisesti kestävälle perustalle. Toteutamme päästöttömyyteen, jätteettömyyteen ja kestävään luonnonvarojen käyttöön liittyvät resurssiviisauden periaatteet vuoteen 2040 mennessä.\r\n\r\nTavoitteiden saavuttamiseksi Turku tekee yhteistyötä asukkaiden, yritysten ja yhteisöjen kanssa \r\n\r\nLisätietoa www.turku.fi/hiilineutraaliturku\r\n\r\n\r\n\r\n","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","Rakentuva kaupunki ja ympäristö"
"Tämä on hanke","2017-09-18","Tuloksellisuutta parannetaan hyvällä johtamisella, uusilla toimintatavoilla ja niitä tukevilla työvälineillä","Kyllä","null","Elinkeinoelämä ja liiketoiminta|Hallinto ja päätökset|Kaavoitus ja rakentaminen|Kaupunkikehittäminen|Koulutus ja päivähoito|Kulttuuri ja liikunta|Liikenne|Tekniikka ja teknologia|Terveys ja sosiaalipalvelut|Ympäristö","1720542.0","Konha/Hallintoryhmä","1766","Smart and Wise Turku/Asiakkuuksien ja palveluiden hallinta","2021-12-31","Turussa voidaan tarjota parhaita mahdollisia palveluita, kun asiakkaiden tarpeet ja tarjolla olevat palvelut tunnetaan. Ihmiset ovat tottuneet tilaamaan, ostamaan ja saamaan palvelua itselleen räätälöitynä, itselleen sopivina aikoina ja sopivissa paikoissa. Yksi tykkää käydä lähikaupassa, toinen tilaa tarvitsemansa ostokset vaikka Madridista. Tämän mahdollistaa sähköisten eli digitaalisten ratkaisujen kehittyminen ja edullistuminen. \r\n\r\nMyös Turun kaupungin tulee muokata palveluitaan asiakkaille sopiviksi. Palveluiden kehittäminen asiakkaiden tarpeiden mukaisesti vaatii asiakkaiden eli turkulaisten, Turussa matkustavien ja esimerkiksi Turussa toimivien yritysten tuntemista nykyistä paremmin. Samoin tarjolla olevista palveluista tulee kerätä tietoa ja kehittää palvelutarjontaa asiakkaiden antaman palautteen perusteella. Palvelutietoihin tulee kattaa kuntien, kuntayhtymien, valtion, yritysten ja kolmannen sektorin tarjoamat palvelut.\r\n\r\nTurku ei kehitä palveluitaan tyhjiössä. Tätä kokonaisuutta on valmisteltu aiemmin yhdessä Suomen kuuden suurimman kaupungin kesken ja työ linkittyy kiinteästi sote- ja maakuntamuutosvalmisteluun sekä muun muassa valtiovarainministeriön AuroraAI-valmisteluun. \r\n\r\nTavoitteena on, että asukkaiden tyytyväisyys ja hyvinvointi kasvavat. Muutoksen tarkoituksena on pystyä tarjoamaan asiakkaille heidän tarvitsemansa palvelut nykyistä paremmin kohdistettuina ja kehittää palveluita asiakastarpeeseen ja –palautteeseen perustuen. \r\n\r\nTässä kokonaisuudessa:\r\n•	Tuetaan kaupungin kulttuurin muutosta kohti asiakaskeskeisyyttä.\r\n•	Kehitetään kokonaisvaltainen asiakkuuksien ja palveluiden hallinnan toimintamalli.\r\n•	Otetaan käyttöön asiakaslähtöinen ja segmenttikohtainen toimintamalli yksi asiakasryhmä tai elämäntapahtuma kerrallaan.\r\n•	Ohjataan palveluja asiakastietoon perustuen. Uutta toimintatapaa suunnitellaan, kokeillaan ja toimeenpannaan yhteistyössä eri tahojen kanssa. \r\n•	Kokonaisuutta toteutetaan projekteittain.\r\n\r\n","Kaupunkistrategia 2029 ja strategiset ohjelmat","Aikuiset|Lapsiperheet|Maahanmuuttajat|Matkailijat|Nuoret|Seniorit|Työnhakijat|Vammaiset|Vauvat ja taaperot|Viranomaiset|Yhdistykset ja yhteisöt|Yritykset","Vaikuttava ja uudistuva Turku"
"Tämä on hanke","2018-05-14","null","Kyllä","Turvallisuuden viranomaiset£Valtionhallinto|Kaupungin johto£Oma organisaatio|Turun yliopisto (FFRC)£Korkeakoulu tai oppilaitos|Järjestöt (RIKU, SPR ym)£Kolmas sektori|Toimialat£Oma organisaatio|Rikoksentorjuntaneuvosto (OM)£Rahoittaja|Turvallisuuden koordinointiryhmä£Oma organisaatio|Riskienhallinnan koordinointiryhmä£Oma organisaatio|Liikenneturvallisuus työryhmä£Oma organisaatio","null","494583.0","Turun kaupunki","1767","Smart and Wise Turku/Turvallisuus","2021-12-31","Turvallisuus-painopistealueella kehitetään turvallisuuden tilannekuva sekä data-analytiikan ja kyberturvallisuuden menetelmiä kaupunkilaisten turvallisuudentunteen parantamiseksi.\r\n\r\nTurvallisuuden tilannekuva tarjoaa kaupungin johdolle ja sidosryhmille näkymän kaupungin turvallisuustilanteeseen. Kaupunkilaisille tarjotaan mahdollisuus vaikuttaa turvallisuusasioihin palautekanavan kautta. Data-analytiikan menetelmien avulla on mahdollista tehdä turvallisuuden kannalta merkityksellisiä havaintoja, joihin voidaan reagoida ennaltaehkäisevästi.\r\n\r\nErityisen huomion kohteena on yhteiskunnan toimintojen kannalta kriittisen infrastruktuurin suojaaminen kyberrikollisuudelta.\r\n\r\nhttps://www.turku.fi/smartandwise","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"null","2018-02-02","Turun asemaa eurooppalaisena kulttuurikaupunkina ja kaupunkikulttuurin edelläkävijänä vahvistetaan kehittämällä uudenlaisia kulttuuriin osallistumisen muotoja","Ei","Nuoret£Asiakas tai asukas|Kuopion kaupunki£Kaupunki, kunta tai seutukunta|Rovaniemen kaupunki£Kaupunki, kunta tai seutukunta|Raahen kaupunki£Kaupunki, kunta tai seutukunta|Kouvolan kaupunki£Kaupunki, kunta tai seutukunta|Kemin kaupunki£Kaupunki, kunta tai seutukunta|Opetus- ja kultuuriministeriö£Rahoittaja","Kulttuuri ja liikunta","652000.0","Vapa/Nuorisopalvelut","1775","Rock Academy Finland vol 2","2021-06-30","Valtakunnallinen Rock Academy Finland vol. 2 -projekti edistää nuorten harrastustoimintaa ja yhtyeiden kehitystä kohti jopa ammattimaista musiikkiuraa. \r\n\r\nTurun kaupungin nuorisopalveluissa toimiva Turku Rock Academy on alkujaan Turun nuorisoasiainkeskuksen luoma malli, joka tarjoaa maksutonta sparrausta ja koulutusta nuorille yhtyeille. Rock Academy tarjoaa nuorille tietoa eri uravaihtoehdoista musiikkialalla ja laaja-alaisia näkemyksiä sekä tukea työllistymiseen musiikin parissa. Nuorten bändit saavat opastusta kaikessa mahdollisessa musabisneksen koukeroista soitonopetukseen ja oman osaamisen markkinointiin. Tiedossa on myös keikkoja, studioaikaa ja musavideoiden tekemistä.\r\n\r\nProjektin tavoitteena on juurruttaa Rock Academy -toimintamalli osaksi osallistuvien kaupunkien ehkäisevää nuorisotyötä ja vahvistaa valtakunnallista Rock Academy Finland -nuorisotyöverkostoa.\r\n\r\nOpetus- ja kulttuuriministeriön rahoituksella Turku Rock Academy -mallia vietiin vuosina 2014–2016 Tampereelle, Jyväskylään, Joensuuhun, Helsinkiin, Espooseen, Vantaalle ja Raumalle. Toiminta sai opetus- ja kulttuuriministeriöltä jo toisen huomattavan avustuksen vuonna 2018. Rahoitusta myönnettiin vuosiksi 2019–2020 yhteensä 587 000 €. Rock Academy Finland vol. 2 -projektissa ovat mukana Rovaniemi, Raahe, Kemi, Kuopio ja Kouvola. Projektia koordinoi Turun kaupunki ja Turku Rock Academy. ","Kaupunkistrategia 2029 ja strategiset ohjelmat","Nuoret","Aktiivinen turkulainen"
"VaPa: Digitaalisten medioiden hyödyntäminen","2017-10-02","Digitaalisia palveluja kehitetään laajalla ja avoimella yhteistyöllä","Ei","Gispositio£Yritys|kirjastot.fi£Kaupunki, kunta tai seutukunta|kirjaston asiakkaat£Asiakas tai asukas|kirjaston henkilökunta£Oma organisaatio|yhteistyökirjastot£Kaupunki, kunta tai seutukunta","Kulttuuri ja liikunta","41500.0","Vapa/Kirjastopalvelut","1787","Paikannus ja suosittelu (Näkymätön näkyväksi)","2020-08-31","Isojen yleisten kirjastojen kokoelmat ovat laajoja ja sijaitsevat eri puolilla kirjastotiloja. Haku verkkokirjastosta näyttää usein runsaasti tuloksia, joiden seulominen saattaa olla työlästä, ja joiden löytäminen hyllystä omatoimisesti voi olla haastavaa.\r\n\r\nProjektin aikana rakennetaan verkkosivusto, joka suosittelee asiakkaalle uusia, kiinnostavia aineistoja sekä auttaa häntä paikantamaan niiden sijainnin Turun pääkirjastossa. Verkkosivustoa voi käyttää tietokoneella tai mobiililaitteella.\r\n\r\nPaikannusominaisuus näyttää etsityn aineiston sijainnin pääkirjastossa yksittäisen kirjahyllyn tarkkuudella. Mikäli palvelua käyttää muualla kuin kirjaston tiloissa, voi aineiston varata vaivattomasti.\r\n\r\nVerkkopalvelun suositteluominaisuus suosittelee aineistoja käyttäjän tekemien valintojen perusteella. Mitä useampia teoksia käyttäjä poimii kirjakoriinsa, sitä osuvampia ja kiinnostavampia suosituksia palvelu antaa.\r\n\r\nProjektin tavoitteena on, että asiakas löytäisi itseään kiinnostavaa aineistoa entistä helpommin. Samalla kirjasto saa tuotua esiin vähemmän kysyttyjä aineistoja, joita asiakas ei hyllyissä muuten välttämättä kohtaisi. Henkilökunnalle verkkopalvelu tuottaa monipuolista raportointitietoa kokoelmien käytöstä, esimerkiksi aineiston tarjonnan ja kysynnän kohtaamisesta.\r\n\r\nProjekti saa rahoitusta AVIlta.","null","Aikuiset|Lapsiperheet|Maahanmuuttajat|Matkailijat|Nuoret|Seniorit|Vammaiset","Vaikuttava ja uudistuva Turku"
"Sito/STEAM Turku","2018-05-01","Henkilöstön osaaminen pidetään kehityksen kärjessä systemaattisella osaamisen johtamisella ja laajaan verkostoitumiseen kannustamalla","Ei","null","null","275990.0","Sivistystoimiala","1810","Robotiikasta resilienssiä ja elinvoimaa (ROBOREEL)","2021-03-31","Robotiikka ja sen kehittyminen mullistaa yritysten toimintaa ja tuo uusia haasteita voimakkaasti muuttuvilla aloilla, kuten logistiikassa, tuotannossa ja hoiva-alalla. Robotiikasta resilienssiä ja elinvoimaa- eli ROBOREEL-projekti tarjoaa yrityksille mahdollisuuksia kehittää uutta liiketoimintaa, millä mahdollistetaan robotiikan ja automatisaation käytön lisääminen erityisesti pienissä ja keskisuurissa yrityksissä. \r\n\r\nROBOREEL-projektissa kartoitetaan yritysten robotiikkaan ja automaatioon liittyviä tarpeita. Lisäksi tuotetaan yrityksille uutta osaamista ja synnytetään uutta robotiikkaan liittyvää liiketoimintaa yhteistyössä yritysten ja valmentavien oppilaitosten välillä. \r\n\r\nKonkreettisena toimenpiteenä Turun kaupungin osaprojektissa järjestetään kymmenen yritysvalmennusta, joista tuotetaan yrityskohtaiset kehityssuunnitelmat. Lisäksi osassa valmennuksiin osallistuneista yrityksistä toteutetaan viisi käytännön robotiikkakokeilua ja –simulaatiota. Kokeilujen ja simulaatioiden avulla yritykset ymmärtävät robotiikkaa ja automaatiomahdollisuuksia, niiden käyttökohteita ja käyttöä paremmin. Projektin päätuloksena yritysten robotiikkaosaaminen lisääntyy ja yritysten kyky hyödyntää robotiikan ja automaation käyttöä yritystoiminnassa paranee.\r\n\r\nROBOREEL on osa Turun 6Aika-perhettä. 6Aika on Suomen kuuden suurimman kaupungin – Helsingin, Espoon, Vantaan, Tampereen, Turun ja Oulun – yhteinen kestävän kaupunkikehityksen strategia. Strategialla vastataan haasteisiin, joita kaupungistuminen tuo. 6Aika-strategian tavoitteena on synnyttää Suomeen uutta osaamista, liiketoimintaa ja työpaikkoja. Hankkeet ovat 6Ajan moottoreita ja Turussa 6Aika-hankkeilla tehdään näkyväksi kaupungin kärkihankkeita kuten Keskustakehittämistä, Tiedepuistoaluetta ja Smart and Wice Turkua. \r\n\r\nProjektin päätoteuttajana on Vantaan kaupunki ja osatoteuttajina Metropolia AMK, Oulun AMK, Tampereen kaupunki, Espoon seudun koulutuskuntayhtymä Omnia sekä Turun kaupunki. Koko projektin budjetti on 1 702 858 euroa.\r\n\r\nLisää tietoa: www.6aika.fi. ","null","null","Osaava ja oppiva turkulainen"
"Sito/Ammatillisen koulutuksen reformi","2017-12-12","Turun alueen kilpailukyvyn ja työllisyyden kasvua vauhditetaan alueellisia elinkeino- ja innovaatiopalveluja uudistamalla","Ei","null","null","710000.0","Sivistystoimiala","1821","HYVÄ PORE","2019-12-31","Hyvä PORE tarkoittaa positiivisen rakennemuutoksen tukemista koulutuksen keinoin.\r\n\r\nLounais-Suomessa on käynnissä positiivinen rakennemuutos valmistavassa teknologiateollisuudessa, jossa tarvitaan lisää työvoimaa. Ammatillisen koulutuksen on uudistuttava vastaamaan rakennemuutoksen vaatimuksia ja tulevaa työvoimatarvetta. Aiempaa tiiviimpi työelä-mäyhteistyö ja uusien toimintatapojen kehittäminen on tärkeää.\r\n\r\nProjektin tavoitteena on kehittää ja ottaa käyttöön uusia toimintamalleja ja käytänteitä, joilla vastataan alueen työvoima- ja osaamistarpeisiin. Kehittämistyössä hyödynnetään yritysten tarpeista lähtevää työpaikalla järjestettävää koulutusta, yritys-työpaikkalähtöisiä oppimisratkaisuja sekä yritysten rekrytointeja tukevia osaamisen kartoitus- ja kehittämispalveluita. Tavoitteena on hyödyntää yrityksiä monipuolisemmin oppimisympäristönä.\r\n\r\nProjektissa mukana olevissa oppilaitoksissa toimii työelämäagentteja, jotka selvittävät yritysten koulutus- ja osaamistarpeita ja tarjoavat yrityksille maksuttomia palveluja. Työelämäagentit suunnittelevat yhdessä yrityksen kanssa esim. miten työpaikalla tapahtuva oppiminen toteutuisi uudella tavalla, tai miten yrityksen työvoimatarpeita voitaisiin auttaa työntekijöiden yksilöllisillä koulutustarpeilla.\r\n\r\nProjekti toteutetaan verkostohankkeena, jossa ovat mukana Lounais-Suomen ammatillisen koulutuksen järjestäjät, sekä muita koulutusorganisaatioita ja yrityksiä. Projektia rahoittaa Opetus- ja kulttuuriministeriö. \r\n","Mahdollistava (yhteistyö, rahoitus jne)","null","Yrittävä ja osaava Turku"
"Sito/Ammatillisen koulutuksen reformi","2017-12-19","Turun seudulla monipuoliset sivistyspalvelut saadaan esteettömästi kaikkien ulottuville hyödyntämällä uuden teknologian tarjoamia mahdollisuuksia ja alueellista yhteistyötä","Ei","Ammatillisen koulutuksen opiskelijat£Asiakas tai asukas|Ammatillisen koulutuksen henkilöstö£Asiakas tai asukas","Koulutus ja päivähoito","133785.0","Sito/Ammatillinen koulutus","1823","HOI! – Hyvinvointia, osallisuutta ja intoa ammatilliseen koulutukseen","2020-12-31","Projektin taustalla on tarve tukea yhteisöllisyyttä ammatillisissa oppilaitoksissa tilanteessa, jossa nuorten ja aikuisten koulutukset yhdistyvät ja käyttöön otetaan opiskelijoiden entistä henkilökohtaisemmat opintopolut. Projektissa kehitetään erilaisia toimintamalleja, joilla tuetaan toisaalta opiskelijoiden yksilöllisten opintopolkujen toteutumista ja lisätään heidän vaikuttamismahdollisuuksiaan sekä toisaalta vahvistetaan yhteisöllistä toimintakulttuuria oppilaitoksissa.\r\n \r\nProjektissa panostetaan henkisen hyvinvoinnin lisäksi fyysisen hyvinvoinnin ja työkyvyn ylläpitämiseen kehittämällä malleja opiskelijoiden ja henkilöstön liikunnallisuuden lisäämiseen. Tavoitteena on kehittää erilaisia malleja, jotka vastaavat sekä opiskelijoiden yksilöllisiin tarpeisiin että heidän mahdollisuuksiinsa. Toimenpiteet on suunniteltu ja ne toteutetaan yhdessä opiskelijoiden, henkilöstön ja työelämän kanssa.\r\n\r\nProjektin tuloksena ammatillisten oppilaitosten viihtyisyys ja yhteisöllisyys lisääntyvät ja niissä opiskelevien ja työskentelevien halu osallistua yhteisten asioiden kehittämiseen kasvaa.\r\n \r\nOpetushallituksen rahoittama projekti toteutetaan Turun ammatti-instituutin lisäksi viidessä ammatillisessa oppilaitoksessa Varsinais-Suomessa, Päijät-Hämeessä ja Pirkanmaalla.\r\n","Mahdollistava (yhteistyö, rahoitus jne)","Aikuiset|Nuoret|Viranomaiset","Osaava ja oppiva turkulainen"
"Tämä on hanke","2018-01-01","Digitaalisia palveluja kehitetään laajalla ja avoimella yhteistyöllä","Ei","Toimialat£Kaupunki, kunta tai seutukunta","Elinkeinoelämä ja liiketoiminta|Hallinto ja päätökset|Kaavoitus ja rakentaminen|Kaupunkikehittäminen|Koulutus ja päivähoito|Kulttuuri ja liikunta|Liikenne|Tekniikka ja teknologia|Terveys ja sosiaalipalvelut|Ympäristö","null","Konha/Asiakkuudet ja osallisuus","1852","DiPaKe 2018-2019","2019-12-31","Digitaaliset palvelut 2018-2019 -hankkeessa kehitetään Turun kaupungin palveluja kansallisten määritysten mukaisesti mahdollisimman paljon muualla tehtyjä ratkaisuja hyödyntäen. \r\n\r\nSuomi.fi-viestit ja -maksut ovat julkishallinnolle määriteltyjä välineitä kuntalaisten ja viranomaisten väliseen vuorovaikutukseen palvelutietovarannon rinnalla. Vuosien 2018-2019 aikana suomi.fi-palvelut tulevat kiinteäksi osaksi kaupungin palveluja esimerkiksi palvelujen verkkomaksamiseen tai viranomaisilta tulevien viestien vastaanottoon. \r\n\r\nLisäksi Turun kaupunki pyrkii hyödyntämään avoimen lähdekoodin ratkaisuja. Ensimmäisinä on rakenteilla Helsingin kaupungin luomat pääkaupunkiseudun palvelukartta, Kerro kantasi -palvelu sekä Open City app -mobiilisovellus, joista tehdään Turun kaupungille omat versiot.\r\n\r\nTurku on vahvasti mukana kansallisten digipalvelujen laatukriteerien ja -linjausten määrittelyssä. Oma kokonaisuutensa on lisäksi verkko-, digi- ja mobiilipalvelujen saavutettavuuden kehittäminen.\r\n\r\nLisää Digitaalisten palvelujen kehittämisestä blogissa: \r\nhttp://www.turku.fi/digipalvelut-blogi \r\n","Pakottava ulkoinen (lakimuutos jne)","null","Vaikuttava ja uudistuva Turku"
"null","2018-05-18","Luodaan parempia palveluita kehittämällä vaikuttavia asiakaskeskeisiä palveluprosesseja","Ei","null","null","251429.0","Sito/Lukiokoulutus","1853","Erityisesti lukiossa","2020-12-31","Projektissa tarjotaan tukea niille lukio-opiskelijoille, joiden opintojen sujuvaa etenemistä vaikeuttavat esimerkiksi oppimisen haasteet, heikot opiskelutaidot tai elämäntilanteesta johtuvat vaikeudet. Tukea tarvitsevat myös ne lukio-opiskelijat, jotka ovat vaarassa uupua, kyynistyä ja omaksua kielteisen opiskeluasenteen jaksamiseen liittyvien ongelmien vuoksi.\r\n\r\nTavoitteena on kehittää erityisopettajien, aineenopettajien, opinto-ohjaajien ja ryhmänohjaajien yhteistyönä Turun lukioihin toimintamalleja, joilla lukiolaisia voidaan auttaa opintojen etenemiseen liittyvissä vaikeuksissa. Projektin aikana kehitettävillä ja kokeiltavilla uudenlaisilla tukitoimilla lisätään lukiolaisten opiskeluhyvinvointia, edistetään jaksamista sekä ehkäistään koulu-uupumista. \r\n\r\nProjektin aikana kehitetään menetelmiä lukiolaisten tukitarpeiden varhaiseen havaitsemiseen ja haitallisten opiskelustrategioiden tunnistamiseen. Aluksi kartoitetaan jo olemassa olevat hyvät keinot havaita tukitarpeita ja tarjota tukea lukiolaisille. Lisäksi projektin aikana kehitetään ja kokeillaan opettajien ja ohjaushenkilöstön yhteistyönä erilaisia uusia yksilöllisiä ja ryhmämuotoisia tuki- ja ohjausmalleja. Lukiolaiset osallistuvat projektiin ideoimalla, antamalla palautetta ja arvioimalla kehitettäviä malleja. \r\n\r\nProjektin tuloksena Turun lukioissa tukea opinnoissaan tarvitsevat opiskelijat saavat ohjausta ja tukea entistä tehokkaammin ja aikaisemmassa vaiheessa. Esimerkkinä tarjolla olevasta tuesta ovat tutoropiskelijoiden toteuttamat matematiikan ja kielten opintopajat. Lisäksi lukio-opettajien ja opinto-ohjaajien valmiudet tunnistaa tukitarpeita ja vastata niihin vahvistuvat.\r\n\r\nProjekti toteutetaan yhteistyössä The English Schoolin sekä Espoon, Jyväskylän ja Kuopion lukioiden kanssa. Sitä rahoittavat opetus- ja kulttuuriministeriö sekä toteuttajaorganisaatiot.\r\n\r\nLisätietoja:\r\nwww.koulutustakuu.fi/hankkeet/erityisesti-lukiossa/","null","null","Terve ja hyvinvoiva turkulainen"
